Hability,Technique,Implemented,Level
.NET,C#,"Ubimia, BairesDev, IntrosMatter, Bachelor's publication",Expert
.NET,.NET 8,IntrosMatter,Proficient
.NET,.NET Framework,"Ubimia, BairesDev",Proficient
.NET,Clean Architecture,IntrosMatter,Proficient
.NET,REST API development,"Ubimia, BairesDev, IntrosMatter",Proficient
.NET,WPF (Windows Presentation Foundation),Ubimia,Proficient
.NET,WinForms,"Tecmo, BairesDev",Proficient
.NET,Object-Oriented Programming (OOP),"Ubimia, BairesDev, IntrosMatter, Bachelor's publication",Expert
.NET,Dependency Injection,IntrosMatter,Proficient
.NET,Scalability,BairesDev,Familiar
.NET,TickerQ (background jobs),IntrosMatter,Familiar
.NET,Docker,IntrosMatter,Familiar
.NET,"Service integrations (Google Suite, Atlassian Suite, AthenaAI, SalesForce)","Ubimia, BairesDev, IntrosMatter",Proficient
.NET,Document manipulation (Spire),Ubimia,Proficient
Database,SQL Server,"Ubimia, BairesDev, IntrosMatter, IBM Data Analyst certification",Expert
Database,Oracle SQL,Ubimia,Familiar
Database,T-SQL,"Ubimia, IntrosMatter",Proficient
Database,Database design / data modeling,"Ubimia, IntrosMatter",Proficient
Database,Stored Procedures,"BairesDev, IntrosMatter",Proficient
Frontend Development,Angular,"BairesDev, IntrosMatter, Personal portfolio",Proficient
Frontend Development,TypeScript,"IntrosMatter, Personal portfolio",Proficient
Frontend Development,HTML / CSS,"IntrosMatter, Personal portfolio",Proficient
Automated Testing,Test Automation,"BairesDev, IntrosMatter",Proficient
Automated Testing,Unit Testing,BairesDev,Proficient
Automated Testing,Playwright,IntrosMatter,Proficient
Automated Testing,E2E test orchestration,IntrosMatter,Expert
Automated Testing,SQL fixture management,IntrosMatter,Proficient
Operations Research / Optimization,Mathematical Modeling,"Tecmo, Bachelor's publication, MSc thesis, NTU Operations Research courses",Expert
Operations Research / Optimization,Linear Programming (LP),"Bachelor's publication, MSc thesis, NTU Operations Research courses",Proficient
Operations Research / Optimization,MILP (Mixed Integer Linear Programming),"Bachelor's publication, NTU Operations Research courses",Proficient
Operations Research / Optimization,GRASP metaheuristic,Bachelor's publication,Expert
Operations Research / Optimization,Heuristics & Metaheuristics,"Bachelor's publication, Bachelor's degree, Tecmo",Expert
Operations Research / Optimization,Greedy algorithms,"Bachelor's degree, Bachelor's publication",Proficient
Operations Research / Optimization,Genetic algorithms,Bachelor's degree,Familiar
