Implemented,Technique,Hability,Level
Bachelor's,C#,.NET,Expert
Bachelor's,Object-Oriented Programming (OOP),.NET,Expert
Bachelor's,Mathematical Modeling,Operations Research / Optimization,Expert
Bachelor's,Linear Programming (LP),Operations Research / Optimization,Proficient
Bachelor's,MILP (Mixed Integer Linear Programming),Operations Research / Optimization,Proficient
Bachelor's,GRASP metaheuristic,Operations Research / Optimization,Expert
Bachelor's,Heuristics & Metaheuristics,Operations Research / Optimization,Expert
Bachelor's,Greedy algorithms,Operations Research / Optimization,Proficient
Bachelor's,Genetic algorithms,Operations Research / Optimization,Familiar
Bachelor's,Simplex method,Operations Research / Optimization,Proficient
Bachelor's,Shortest path algorithms,Operations Research / Optimization,Familiar
Bachelor's,Combinatorial optimization,Operations Research / Optimization,Proficient
Bachelor's,Algorithm design,Operations Research / Optimization,Proficient
Bachelor's,GAMS / CPLEX,Operations Research / Optimization,Familiar
Bachelor's,Monte Carlo simulation,Simulation,Expert
Bachelor's,Discrete event simulation,Simulation,Proficient
Bachelor's,Arena,Simulation,Proficient
Bachelor's,Vensim,Simulation,Familiar
Bachelor's,Flexsim,Simulation,Familiar
Bachelor's,Statistical hypothesis testing (ANOVA / Tukey / K-S),Statistics / Data Analysis,Proficient
Bachelor's,Probability distribution fitting,Statistics / Data Analysis,Proficient
Bachelor's,Applied statistics,Statistics / Data Analysis,Proficient
Bachelor's,Technical research and academic writing,Project & Collaboration,Proficient
Bachelor's,Decision-Making,Project & Collaboration,Expert
Bachelor's,Problem Solving,Project & Collaboration,Expert
Bachelor's,SolidWorks,Tools,Familiar
Bachelor's,Industrial Engineering,Engineering,Expert
Master's,Mathematical Modeling,Operations Research / Optimization,Expert
Master's,Linear Programming (LP),Operations Research / Optimization,Proficient
Master's,Agent-based modeling,Simulation,Proficient
Master's,System Dynamics Simulation,Simulation,Proficient
Master's,AnyLogic,Simulation,Proficient
Master's,Vensim,Simulation,Familiar
Master's,Bass diffusion model,Simulation,Proficient
Master's,Multinomial logistic regression,Statistics / Data Analysis,Proficient
Master's,R,Statistics / Data Analysis,Proficient
Master's,Statistical hypothesis testing (ANOVA / Tukey / K-S),Statistics / Data Analysis,Proficient
Master's,Survey design and execution,Statistics / Data Analysis,Proficient
